data;
param N := 4;
param E := 8;
param U := 7;
param S := 5;#two services
param:  link_src	link_dst	    c 		xi:=
	1		1			2			2		1
	2       2			1			2		1
	3		1		    3			2		1
	4		3		    1			2		1
	5		2			3			2		1
	6		3			2			2		1	
	7		1			4			3		2
	8		4			1			3		2;
param l := #link delay
	1	1
	2	1
	3	1
	4	1
	5	1
	6	1
	7	2
	8	2;
param Comp_N := #node computation
	1	2
	2	0
	3	0
	4	5;
param M := #node memory
	1	2
	2	2
	3	2
	4	5;
param K := #node serving limitation
	1	2
	2	2
	3	2
	4	5;
param w := #service profits
	1	1
	2	2
	3	3
	4	4
	5	5;
param h := #bandwidth for service
	1	1
	2	1
	3	1
	4	1
	5	1;
param m := #service memory
	1	1
	2	1
	3	1
	4	1
	5	1;
param comp := #service computational
	1	1
	2	1
	3	1
	4	1
	5	1;
param t := #service delay tolerance
	1	1
	2	1
	3	2
	4	2
	5	3;
param s := #service of user
	1	1
	2	2
	3	3
	4	4
	5	5
	6	1
	7	2;
param Nu: 	1 	2	3	4	5	6	7:=
		1	1	1	1	0	1	0	0
		2	1	1	0	1	0	1	0
		3	1	0	1	1	0	0	1
		4	0	0	0	0	0	0	0;		
end;	
